type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'a11', 'delay': 23, 'scheduledTime': '2023-08-02t08:20:00.000', 'estimatedTime': '2023-08-02t08:20:00.000', 'actualTime': '2023-08-02t08:42:00.000', 'estimatedRunway': '2023-08-02t08:42:00.000', 'actualRunway': '2023-08-02t08:42:00.000'}","{'iataCode': 'jax', 'icaoCode': 'kjax', 'gate': 'a5', 'scheduledTime': '2023-08-02t11:09:00.000', 'estimatedTime': '2023-08-02t10:36:00.000'}","{'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}","{'number': '5783', 'iataNumber': 'dl5783', 'icaoNumber': 'dal5783'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '23', 'delay': 46, 'scheduledTime': '2023-08-02t08:20:00.000', 'estimatedTime': '2023-08-02t08:52:00.000', 'actualTime': '2023-08-02t09:06:00.000', 'estimatedRunway': '2023-08-02t09:06:00.000', 'actualRunway': '2023-08-02t09:06:00.000'}","{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '2', 'scheduledTime': '2023-08-02t20:45:00.000', 'estimatedTime': '2023-08-02t20:44:00.000'}","{'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}","{'number': '1107', 'iataNumber': 'b61107', 'icaoNumber': 'jbu1107'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b38', 'delay': 20, 'scheduledTime': '2023-08-02t08:20:00.000', 'estimatedTime': '2023-08-02t08:20:00.000', 'actualTime': '2023-08-02t08:39:00.000', 'estimatedRunway': '2023-08-02t08:39:00.000', 'actualRunway': '2023-08-02t08:39:00.000'}","{'iataCode': 'mbj', 'icaoCode': 'mkjs', 'gate': '9', 'scheduledTime': '2023-08-02t11:26:00.000', 'estimatedTime': '2023-08-02t10:57:00.000'}","{'name': 'virgin atlantic', 'iataCode': 'vs', 'icaoCode': 'vir'}","{'number': '4853', 'iataNumber': 'vs4853', 'icaoNumber': 'vir4853'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '1955', 'iataNumber': 'dl1955', 'icaoNumber': 'dal1955'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b38', 'delay': 20, 'scheduledTime': '2023-08-02t08:20:00.000', 'estimatedTime': '2023-08-02t08:20:00.000', 'actualTime': '2023-08-02t08:39:00.000', 'estimatedRunway': '2023-08-02t08:39:00.000', 'actualRunway': '2023-08-02t08:39:00.000'}","{'iataCode': 'mbj', 'icaoCode': 'mkjs', 'gate': '9', 'scheduledTime': '2023-08-02t11:26:00.000', 'estimatedTime': '2023-08-02t10:57:00.000'}","{'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}","{'number': '1955', 'iataNumber': 'dl1955', 'icaoNumber': 'dal1955'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b37', 'delay': 18, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:26:00.000', 'actualTime': '2023-08-02t08:40:00.000', 'estimatedRunway': '2023-08-02t08:40:00.000', 'actualRunway': '2023-08-02t08:40:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'e', 'baggage': 'e14', 'gate': 'e13', 'scheduledTime': '2023-08-02t11:14:00.000', 'estimatedTime': '2023-08-02t10:45:00.000'}","{'name': 'aeromexico', 'iataCode': 'am', 'icaoCode': 'amx'}","{'number': '3729', 'iataNumber': 'am3729', 'icaoNumber': 'amx3729'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '534', 'iataNumber': 'dl534', 'icaoNumber': 'dal534'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b37', 'delay': 18, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:26:00.000', 'actualTime': '2023-08-02t08:40:00.000', 'estimatedRunway': '2023-08-02t08:40:00.000', 'actualRunway': '2023-08-02t08:40:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'e', 'baggage': 'e14', 'gate': 'e13', 'scheduledTime': '2023-08-02t11:14:00.000', 'estimatedTime': '2023-08-02t10:45:00.000'}","{'name': 'latam airlines', 'iataCode': 'la', 'icaoCode': 'lan'}","{'number': '6226', 'iataNumber': 'la6226', 'icaoNumber': 'lan6226'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '534', 'iataNumber': 'dl534', 'icaoNumber': 'dal534'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b37', 'delay': 18, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:26:00.000', 'actualTime': '2023-08-02t08:40:00.000', 'estimatedRunway': '2023-08-02t08:40:00.000', 'actualRunway': '2023-08-02t08:40:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'e', 'baggage': 'e14', 'gate': 'e13', 'scheduledTime': '2023-08-02t11:14:00.000', 'estimatedTime': '2023-08-02t10:45:00.000'}","{'name': 'virgin atlantic', 'iataCode': 'vs', 'icaoCode': 'vir'}","{'number': '3610', 'iataNumber': 'vs3610', 'icaoNumber': 'vir3610'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '534', 'iataNumber': 'dl534', 'icaoNumber': 'dal534'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b37', 'delay': 18, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:26:00.000', 'actualTime': '2023-08-02t08:40:00.000', 'estimatedRunway': '2023-08-02t08:40:00.000', 'actualRunway': '2023-08-02t08:40:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'e', 'baggage': 'e14', 'gate': 'e13', 'scheduledTime': '2023-08-02t11:14:00.000', 'estimatedTime': '2023-08-02t10:45:00.000'}","{'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}","{'number': '534', 'iataNumber': 'dl534', 'icaoNumber': 'dal534'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b48', 'delay': 21, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:23:00.000', 'actualTime': '2023-08-02t08:43:00.000', 'estimatedRunway': '2023-08-02t08:43:00.000', 'actualRunway': '2023-08-02t08:43:00.000'}","{'iataCode': 'yyz', 'icaoCode': 'cyyz', 'terminal': '3', 'baggage': '5', 'gate': 'b12', 'scheduledTime': '2023-08-02t10:25:00.000', 'estimatedTime': '2023-08-02t09:47:00.000'}","{'name': 'korean air', 'iataCode': 'ke', 'icaoCode': 'kal'}","{'number': '7384', 'iataNumber': 'ke7384', 'icaoNumber': 'kal7384'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '5171', 'iataNumber': 'dl5171', 'icaoNumber': 'dal5171'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b48', 'delay': 21, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:23:00.000', 'actualTime': '2023-08-02t08:43:00.000', 'estimatedRunway': '2023-08-02t08:43:00.000', 'actualRunway': '2023-08-02t08:43:00.000'}","{'iataCode': 'yyz', 'icaoCode': 'cyyz', 'terminal': '3', 'baggage': '5', 'gate': 'b12', 'scheduledTime': '2023-08-02t10:25:00.000', 'estimatedTime': '2023-08-02t09:47:00.000'}","{'name': 'latam airlines', 'iataCode': 'la', 'icaoCode': 'lan'}","{'number': '6439', 'iataNumber': 'la6439', 'icaoNumber': 'lan6439'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '5171', 'iataNumber': 'dl5171', 'icaoNumber': 'dal5171'}}"
