type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c24', 'delay': 21, 'scheduledTime': '2023-08-01t08:50:00.000', 'estimatedTime': '2023-08-01t09:06:00.000', 'actualTime': '2023-08-01t09:10:00.000', 'estimatedRunway': '2023-08-01t09:10:00.000', 'actualRunway': '2023-08-01t09:10:00.000'}","{'iataCode': 'hou', 'icaoCode': 'khou', 'gate': '5', 'scheduledTime': '2023-08-01t13:55:00.000', 'estimatedTime': '2023-08-01t13:48:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '3108', 'iataNumber': 'wn3108', 'icaoNumber': 'swa3108'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'b22', 'delay': 42, 'scheduledTime': '2023-08-01t08:50:00.000', 'estimatedTime': '2023-08-01t09:32:00.000'}","{'iataCode': 'sba', 'icaoCode': 'ksba', 'gate': '4', 'scheduledTime': '2023-08-01t10:05:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '3218', 'iataNumber': 'wn3218', 'icaoNumber': 'swa3218'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'a14', 'delay': 10, 'scheduledTime': '2023-08-01t08:51:00.000', 'estimatedTime': '2023-08-01t08:51:00.000', 'actualTime': '2023-08-01t09:00:00.000', 'estimatedRunway': '2023-08-01t09:00:00.000', 'actualRunway': '2023-08-01t09:00:00.000'}","{'iataCode': 'smf', 'icaoCode': 'ksmf', 'terminal': 'b', 'gate': '11', 'scheduledTime': '2023-08-01t10:22:00.000', 'estimatedTime': '2023-08-01t10:04:00.000'}","{'name': 'spirit airlines', 'iataCode': 'nk', 'icaoCode': 'nks'}","{'number': '928', 'iataNumber': 'nk928', 'icaoNumber': 'nks928'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'd9', 'delay': 15, 'scheduledTime': '2023-08-01t08:55:00.000', 'estimatedTime': '2023-08-01t09:15:00.000', 'actualTime': '2023-08-01t09:10:00.000', 'estimatedRunway': '2023-08-01t09:10:00.000', 'actualRunway': '2023-08-01t09:10:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'c', 'baggage': 'c4', 'gate': 'c8', 'scheduledTime': '2023-08-01t13:43:00.000'}","{'name': 'iberia', 'iataCode': 'ib', 'icaoCode': 'ibe'}","{'number': '4418', 'iataNumber': 'ib4418', 'icaoNumber': 'ibe4418'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '1890', 'iataNumber': 'aa1890', 'icaoNumber': 'aal1890'}}"
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'd9', 'delay': 15, 'scheduledTime': '2023-08-01t08:55:00.000', 'estimatedTime': '2023-08-01t09:15:00.000', 'actualTime': '2023-08-01t09:10:00.000', 'estimatedRunway': '2023-08-01t09:10:00.000', 'actualRunway': '2023-08-01t09:10:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'c', 'baggage': 'c4', 'gate': 'c8', 'scheduledTime': '2023-08-01t13:43:00.000'}","{'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}","{'number': '1890', 'iataNumber': 'aa1890', 'icaoNumber': 'aal1890'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c22', 'delay': 29, 'scheduledTime': '2023-08-01t08:55:00.000', 'estimatedTime': '2023-08-01t09:10:00.000', 'actualTime': '2023-08-01t09:23:00.000', 'estimatedRunway': '2023-08-01t09:23:00.000', 'actualRunway': '2023-08-01t09:23:00.000'}","{'iataCode': 'lgb', 'icaoCode': 'klgb', 'gate': '5', 'delay': 6, 'scheduledTime': '2023-08-01t10:00:00.000', 'estimatedTime': '2023-08-01t10:06:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '2780', 'iataNumber': 'wn2780', 'icaoNumber': 'swa2780'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c7', 'delay': 12, 'scheduledTime': '2023-08-01t08:55:00.000', 'estimatedTime': '2023-08-01t08:55:00.000', 'actualTime': '2023-08-01t09:06:00.000', 'estimatedRunway': '2023-08-01t09:06:00.000', 'actualRunway': '2023-08-01t09:06:00.000'}","{'iataCode': 'bzn', 'icaoCode': 'kbzn', 'gate': 'b7', 'scheduledTime': '2023-08-01t12:00:00.000', 'estimatedTime': '2023-08-01t11:40:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '2956', 'iataNumber': 'wn2956', 'icaoNumber': 'swa2956'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'a10', 'delay': 19, 'scheduledTime': '2023-08-01t08:57:00.000', 'estimatedTime': '2023-08-01t09:15:00.000', 'actualTime': '2023-08-01t09:15:00.000', 'estimatedRunway': '2023-08-01t09:15:00.000', 'actualRunway': '2023-08-01t09:15:00.000'}","{'iataCode': 'sea', 'icaoCode': 'ksea', 'baggage': '7', 'gate': 's4', 'scheduledTime': '2023-08-01t11:37:00.000', 'estimatedTime': '2023-08-01t11:16:00.000'}","{'name': 'spirit airlines', 'iataCode': 'nk', 'icaoCode': 'nks'}","{'number': '421', 'iataNumber': 'nk421', 'icaoNumber': 'nks421'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'a17', 'delay': 13, 'scheduledTime': '2023-08-01t09:00:00.000', 'estimatedTime': '2023-08-01t09:13:00.000', 'actualTime': '2023-08-01t09:12:00.000', 'estimatedRunway': '2023-08-01t09:12:00.000', 'actualRunway': '2023-08-01t09:12:00.000'}","{'iataCode': 'mfe', 'icaoCode': 'kmfe', 'scheduledTime': '2023-08-01t14:03:00.000', 'estimatedTime': '2023-08-01t13:54:00.000'}","{'name': 'allegiant air', 'iataCode': 'g4', 'icaoCode': 'aay'}","{'number': '1627', 'iataNumber': 'g41627', 'icaoNumber': 'aay1627'}",
departure,unknown,"{'iataCode': 'las', 'icaoCode': 'klas', 'scheduledTime': '2023-08-01t09:00:00.000'}","{'iataCode': 'vny', 'icaoCode': 'kvny', 'scheduledTime': '2023-08-01t10:12:00.000'}","{'name': 'netjets aviation', 'iataCode': '1i', 'icaoCode': 'eja'}","{'number': '508', 'iataNumber': '1i508', 'icaoNumber': 'eja508'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'delay': 30, 'scheduledTime': '2023-08-01t09:00:00.000', 'estimatedTime': '2023-08-01t09:10:00.000', 'actualTime': '2023-08-01t09:29:00.000', 'estimatedRunway': '2023-08-01t09:29:00.000', 'actualRunway': '2023-08-01t09:29:00.000'}","{'iataCode': 'ccr', 'icaoCode': 'kccr', 'scheduledTime': '2023-08-01t10:51:00.000', 'estimatedTime': '2023-08-01t10:35:00.000'}","{'name': 'flexjet', 'iataCode': 'lxj', 'icaoCode': 'lxj'}","{'number': '387', 'iataNumber': 'lxj387', 'icaoNumber': 'lxj387'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'delay': 13, 'scheduledTime': '2023-08-01t07:45:00.000', 'estimatedTime': '2023-08-01t07:55:00.000', 'actualTime': '2023-08-01t07:58:00.000', 'estimatedRunway': '2023-08-01t07:58:00.000', 'actualRunway': '2023-08-01t07:58:00.000'}","{'iataCode': 'brd', 'icaoCode': 'kbrd', 'scheduledTime': '2023-08-01t12:53:00.000', 'estimatedTime': '2023-08-01t12:40:00.000'}","{'name': 'empty', 'iataCode': '', 'icaoCode': ''}","{'number': '1395', 'iataNumber': '', 'icaoNumber': ''}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'delay': 23, 'scheduledTime': '2023-08-01t09:00:00.000', 'estimatedTime': '2023-08-01t09:10:00.000', 'actualTime': '2023-08-01t09:23:00.000', 'estimatedRunway': '2023-08-01t09:23:00.000', 'actualRunway': '2023-08-01t09:23:00.000'}","{'iataCode': 'dal', 'icaoCode': 'kdal', 'scheduledTime': '2023-08-01t14:14:00.000', 'estimatedTime': '2023-08-01t13:53:00.000'}","{'name': 'volato', 'iataCode': '', 'icaoCode': 'tmb'}","{'number': '420', 'iataNumber': '', 'icaoNumber': 'tmb420'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c11', 'delay': 11, 'scheduledTime': '2023-08-01t09:05:00.000', 'estimatedTime': '2023-08-01t09:05:00.000', 'actualTime': '2023-08-01t09:15:00.000', 'estimatedRunway': '2023-08-01t09:15:00.000', 'actualRunway': '2023-08-01t09:15:00.000'}","{'iataCode': 'elp', 'icaoCode': 'kelp', 'gate': 'b5', 'scheduledTime': '2023-08-01t11:45:00.000', 'estimatedTime': '2023-08-01t11:38:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '39', 'iataNumber': 'wn39', 'icaoNumber': 'swa39'}",
