estimatedDelay
12.0
-1.0
-1.0
-1.0
-1.0
-1.0
-1.0
0.0
0.0
0.0
11.0
65.0
163.0
-1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
42.0
42.0
42.0
42.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
-10.0
-10.0
-10.0
-10.0
-10.0
-10.0
19.0
19.0
19.0
19.0
19.0
19.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
0.0
21.0
21.0
21.0
21.0
21.0
19.0
""
""
""
""
""
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
20.0
20.0
37.0
67.0
67.0
67.0
65.0
65.0
65.0
65.0
65.0
65.0
2.0
2.0
2.0
2.0
2.0
2.0
2.0
2.0
16.0
16.0
16.0
16.0
16.0
17.0
17.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
29.0
29.0
191.0
191.0
9.0
101.0
4.0
4.0
4.0
4.0
4.0
12.0
12.0
12.0
12.0
12.0
5.0
5.0
5.0
5.0
5.0
5.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.0
5.0
5.0
5.0
5.0
5.0
5.0
5.0
11.0
11.0
11.0
11.0
11.0
11.0
0.0
0.0
0.0
0.0
0.0
0.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
17.0
17.0
17.0
17.0
17.0
17.0
11.0
11.0
11.0
11.0
11.0
11.0
11.0
11.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
32.0
32.0
32.0
32.0
32.0
32.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
12.0
12.0
12.0
12.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
-3.0
0.0
62.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
23.0
23.0
23.0
23.0
23.0
23.0
23.0
0.0
22.0
22.0
22.0
22.0
22.0
22.0
70.0
70.0
70.0
70.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
-5.0
-5.0
-5.0
-5.0
-5.0
-5.0
-5.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
16.0
16.0
16.0
16.0
16.0
16.0
52.0
52.0
52.0
52.0
52.0
52.0
52.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
11.0
11.0
11.0
11.0
11.0
11.0
11.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
0.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
26.0
26.0
26.0
26.0
26.0
26.0
45.0
0.0
0.0
0.0
0.0
0.0
0.0
27.0
27.0
27.0
27.0
27.0
27.0
0.0
23.0
23.0
23.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
15.0
15.0
15.0
15.0
15.0
15.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
16.0
