type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 12, 'scheduledTime': '2023-05-13t19:15:00.000', 'estimatedTime': '2023-05-13t19:23:00.000', 'actualTime': '2023-05-13t19:26:00.000', 'estimatedRunway': '2023-05-13t19:26:00.000', 'actualRunway': '2023-05-13t19:26:00.000'}","{'iataCode': 'ynt', 'icaoCode': 'zsyt', 'terminal': 't1', 'scheduledTime': '2023-05-13t20:35:00.000', 'estimatedTime': '2023-05-13t20:22:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '2766', 'iataNumber': 'zh2766', 'icaoNumber': 'csz2766'}","{'airline': {'name': 'shandong airlines', 'iataCode': 'sc', 'icaoCode': 'cdg'}, 'flight': {'number': '7606', 'iataNumber': 'sc7606', 'icaoNumber': 'cdg7606'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 12, 'scheduledTime': '2023-05-13t19:15:00.000', 'estimatedTime': '2023-05-13t19:23:00.000', 'actualTime': '2023-05-13t19:26:00.000', 'estimatedRunway': '2023-05-13t19:26:00.000', 'actualRunway': '2023-05-13t19:26:00.000'}","{'iataCode': 'ynt', 'icaoCode': 'zsyt', 'terminal': 't1', 'scheduledTime': '2023-05-13t20:35:00.000', 'estimatedTime': '2023-05-13t20:22:00.000'}","{'name': 'tibet airlines', 'iataCode': 'tv', 'icaoCode': 'tba'}","{'number': '7088', 'iataNumber': 'tv7088', 'icaoNumber': 'tba7088'}","{'airline': {'name': 'shandong airlines', 'iataCode': 'sc', 'icaoCode': 'cdg'}, 'flight': {'number': '7606', 'iataNumber': 'sc7606', 'icaoNumber': 'cdg7606'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 12, 'scheduledTime': '2023-05-13t19:15:00.000', 'estimatedTime': '2023-05-13t19:23:00.000', 'actualTime': '2023-05-13t19:26:00.000', 'estimatedRunway': '2023-05-13t19:26:00.000', 'actualRunway': '2023-05-13t19:26:00.000'}","{'iataCode': 'ynt', 'icaoCode': 'zsyt', 'terminal': 't1', 'scheduledTime': '2023-05-13t20:35:00.000', 'estimatedTime': '2023-05-13t20:22:00.000'}","{'name': 'shandong airlines', 'iataCode': 'sc', 'icaoCode': 'cdg'}","{'number': '7606', 'iataNumber': 'sc7606', 'icaoNumber': 'cdg7606'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'j', 'delay': 16, 'scheduledTime': '2023-05-13t19:20:00.000', 'estimatedTime': '2023-05-13t19:36:00.000', 'actualTime': '2023-05-13t19:36:00.000', 'estimatedRunway': '2023-05-13t19:36:00.000', 'actualRunway': '2023-05-13t19:36:00.000'}","{'iataCode': 'dlc', 'icaoCode': 'zytl', 'scheduledTime': '2023-05-13t20:50:00.000', 'estimatedTime': '2023-05-13t20:30:00.000'}","{'name': 'shandong airlines', 'iataCode': 'sc', 'icaoCode': 'cdg'}","{'number': '5083', 'iataNumber': 'sc5083', 'icaoNumber': 'cdg5083'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1605', 'iataNumber': 'ca1605', 'icaoNumber': 'cca1605'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'j', 'delay': 16, 'scheduledTime': '2023-05-13t19:20:00.000', 'estimatedTime': '2023-05-13t19:36:00.000', 'actualTime': '2023-05-13t19:36:00.000', 'estimatedRunway': '2023-05-13t19:36:00.000', 'actualRunway': '2023-05-13t19:36:00.000'}","{'iataCode': 'dlc', 'icaoCode': 'zytl', 'scheduledTime': '2023-05-13t20:50:00.000', 'estimatedTime': '2023-05-13t20:30:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1605', 'iataNumber': 'zh1605', 'icaoNumber': 'csz1605'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1605', 'iataNumber': 'ca1605', 'icaoNumber': 'cca1605'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'j', 'delay': 16, 'scheduledTime': '2023-05-13t19:20:00.000', 'estimatedTime': '2023-05-13t19:36:00.000', 'actualTime': '2023-05-13t19:36:00.000', 'estimatedRunway': '2023-05-13t19:36:00.000', 'actualRunway': '2023-05-13t19:36:00.000'}","{'iataCode': 'dlc', 'icaoCode': 'zytl', 'scheduledTime': '2023-05-13t20:50:00.000', 'estimatedTime': '2023-05-13t20:30:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1605', 'iataNumber': 'ca1605', 'icaoNumber': 'cca1605'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'scheduledTime': '2023-05-13t19:20:00.000'}","{'iataCode': 'hgh', 'icaoCode': 'zshc', 'scheduledTime': '2023-05-13t21:40:00.000'}","{'name': 'sf airlines', 'iataCode': 'o3', 'icaoCode': 'css'}","{'number': '6922', 'iataNumber': 'o36922', 'icaoNumber': 'css6922'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'h01', 'delay': 20, 'scheduledTime': '2023-05-13t19:25:00.000', 'estimatedTime': '2023-05-13t19:13:00.000', 'actualTime': '2023-05-13t19:45:00.000', 'estimatedRunway': '2023-05-13t19:45:00.000', 'actualRunway': '2023-05-13t19:45:00.000'}","{'iataCode': 'mdg', 'icaoCode': 'zymd', 'scheduledTime': '2023-05-13t21:35:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1681', 'iataNumber': 'zh1681', 'icaoNumber': 'csz1681'}","{'airline': {'name': 'air china inner mongolia', 'iataCode': '', 'icaoCode': 'cnm'}, 'flight': {'number': '1681', 'iataNumber': '', 'icaoNumber': 'cnm1681'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'h01', 'delay': 20, 'scheduledTime': '2023-05-13t19:25:00.000', 'estimatedTime': '2023-05-13t19:13:00.000', 'actualTime': '2023-05-13t19:45:00.000', 'estimatedRunway': '2023-05-13t19:45:00.000', 'actualRunway': '2023-05-13t19:45:00.000'}","{'iataCode': 'mdg', 'icaoCode': 'zymd', 'scheduledTime': '2023-05-13t21:35:00.000'}","{'name': 'air china inner mongolia', 'iataCode': '', 'icaoCode': 'cnm'}","{'number': '1681', 'iataNumber': '', 'icaoNumber': 'cnm1681'}",
departure,cancelled,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'scheduledTime': '2023-05-13t19:30:00.000'}","{'iataCode': 'sha', 'icaoCode': 'zsss', 'terminal': '2', 'scheduledTime': '2023-05-13t21:50:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1563', 'iataNumber': 'zh1563', 'icaoNumber': 'csz1563'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1563', 'iataNumber': 'ca1563', 'icaoNumber': 'cca1563'}}"
departure,cancelled,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'scheduledTime': '2023-05-13t19:30:00.000'}","{'iataCode': 'sha', 'icaoCode': 'zsss', 'terminal': '2', 'scheduledTime': '2023-05-13t21:50:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1563', 'iataNumber': 'ca1563', 'icaoNumber': 'cca1563'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'j', 'delay': 8, 'scheduledTime': '2023-05-13t19:30:00.000', 'estimatedTime': '2023-05-13t19:35:00.000', 'actualTime': '2023-05-13t19:38:00.000', 'estimatedRunway': '2023-05-13t19:38:00.000', 'actualRunway': '2023-05-13t19:38:00.000'}","{'iataCode': 'weh', 'icaoCode': 'zswh', 'scheduledTime': '2023-05-13t21:00:00.000', 'estimatedTime': '2023-05-13t20:37:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1597', 'iataNumber': 'zh1597', 'icaoNumber': 'csz1597'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1597', 'iataNumber': 'ca1597', 'icaoNumber': 'cca1597'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'j', 'delay': 8, 'scheduledTime': '2023-05-13t19:30:00.000', 'estimatedTime': '2023-05-13t19:35:00.000', 'actualTime': '2023-05-13t19:38:00.000', 'estimatedRunway': '2023-05-13t19:38:00.000', 'actualRunway': '2023-05-13t19:38:00.000'}","{'iataCode': 'weh', 'icaoCode': 'zswh', 'scheduledTime': '2023-05-13t21:00:00.000', 'estimatedTime': '2023-05-13t20:37:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1597', 'iataNumber': 'ca1597', 'icaoNumber': 'cca1597'}",
