flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-12-07,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '12', 'delay': 24, 'scheduled': '2023-12-07T00:30:00+00:00', 'estimated': '2023-12-07T00:30:00+00:00', 'actual': '2023-12-07T00:53:00+00:00', 'estimated_runway': '2023-12-07T00:53:00+00:00', 'actual_runway': '2023-12-07T00:53:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 11, 'scheduled': '2023-12-07T05:45:00+00:00', 'estimated': '2023-12-07T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Firefly', 'iata': 'FY', 'icao': 'FFM'}","{'number': '7146', 'iata': 'FY7146', 'icao': 'FFM7146', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
2023-12-07,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '12', 'delay': 24, 'scheduled': '2023-12-07T00:30:00+00:00', 'estimated': '2023-12-07T00:30:00+00:00', 'actual': '2023-12-07T00:53:00+00:00', 'estimated_runway': '2023-12-07T00:53:00+00:00', 'actual_runway': '2023-12-07T00:53:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 11, 'scheduled': '2023-12-07T05:45:00+00:00', 'estimated': '2023-12-07T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Myanmar Airways International', 'iata': '8M', 'icao': 'MMA'}","{'number': '9593', 'iata': '8M9593', 'icao': 'MMA9593', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
2023-12-07,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '14A', 'delay': 1, 'scheduled': '2023-12-07T00:35:00+00:00', 'estimated': '2023-12-07T00:35:00+00:00', 'actual': '2023-12-07T00:36:00+00:00', 'estimated_runway': '2023-12-07T00:36:00+00:00', 'actual_runway': '2023-12-07T00:36:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': None, 'baggage': '42', 'delay': None, 'scheduled': '2023-12-07T05:15:00+00:00', 'estimated': '2023-12-07T05:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Lufthansa', 'iata': 'LH', 'icao': 'DLH'}","{'number': '9777', 'iata': 'LH9777', 'icao': 'DLH9777', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '218', 'flight_iata': 'sq218', 'flight_icao': 'sia218'}}",,
2023-12-07,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'I26', 'delay': 9, 'scheduled': '2023-12-07T06:15:00+00:00', 'estimated': '2023-12-07T06:15:00+00:00', 'actual': '2023-12-07T06:23:00+00:00', 'estimated_runway': '2023-12-07T06:23:00+00:00', 'actual_runway': '2023-12-07T06:23:00+00:00'}","{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': 'I', 'gate': '77', 'baggage': 'I01', 'delay': None, 'scheduled': '2023-12-07T07:10:00+00:00', 'estimated': '2023-12-07T07:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Turkish Airlines', 'iata': 'TK', 'icao': 'THY'}","{'number': '8763', 'iata': 'TK8763', 'icao': 'THY8763', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '201', 'flight_iata': 'nz201', 'flight_icao': 'anz201'}}",,
2023-12-07,active,"{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': '1', 'gate': '29', 'delay': 20, 'scheduled': '2023-12-07T00:45:00+00:00', 'estimated': '2023-12-07T00:45:00+00:00', 'actual': '2023-12-07T01:05:00+00:00', 'estimated_runway': '2023-12-07T01:05:00+00:00', 'actual_runway': '2023-12-07T01:05:00+00:00'}","{'airport': 'Suvarnabhumi International', 'timezone': 'Asia/Bangkok', 'iata': 'BKK', 'icao': 'VTBS', 'terminal': 'MAIN', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T05:00:00+00:00', 'estimated': '2023-12-07T05:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Alaska Airlines', 'iata': 'AS', 'icao': 'ASA'}","{'number': '7341', 'iata': 'AS7341', 'icao': 'ASA7341', 'codeshared': {'airline_name': 'jal', 'airline_iata': 'jl', 'airline_icao': 'jal', 'flight_number': '727', 'flight_iata': 'jl727', 'flight_icao': 'jal727'}}",,
2023-12-07,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '15', 'delay': 11, 'scheduled': '2023-12-07T06:05:00+00:00', 'estimated': '2023-12-07T06:05:00+00:00', 'actual': '2023-12-07T06:16:00+00:00', 'estimated_runway': '2023-12-07T06:16:00+00:00', 'actual_runway': '2023-12-07T06:16:00+00:00'}","{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '3', 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T08:15:00+00:00', 'estimated': '2023-12-07T08:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Eastern Airlines', 'iata': 'MU', 'icao': 'CES'}","{'number': '4029', 'iata': 'MU4029', 'icao': 'CES4029', 'codeshared': {'airline_name': 'qantas', 'airline_iata': 'qf', 'airline_icao': 'qfa', 'flight_number': '152', 'flight_iata': 'qf152', 'flight_icao': 'qfa152'}}",,
2023-12-07,active,"{'airport': 'Hong Kong International', 'timezone': 'Asia/Hong_Kong', 'iata': 'HKG', 'icao': 'VHHH', 'terminal': None, 'gate': None, 'delay': 33, 'scheduled': '2023-12-07T03:30:00+00:00', 'estimated': '2023-12-07T03:30:00+00:00', 'actual': '2023-12-07T04:03:00+00:00', 'estimated_runway': '2023-12-07T04:03:00+00:00', 'actual_runway': '2023-12-07T04:03:00+00:00'}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 6, 'scheduled': '2023-12-07T07:50:00+00:00', 'estimated': '2023-12-07T07:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'DHL Air', 'iata': 'D0', 'icao': 'DHK'}","{'number': '204', 'iata': 'D0204', 'icao': 'DHK204', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '31', 'delay': 13, 'scheduled': '2023-12-07T07:55:00+00:00', 'estimated': '2023-12-07T07:55:00+00:00', 'actual': '2023-12-07T08:08:00+00:00', 'estimated_runway': '2023-12-07T08:08:00+00:00', 'actual_runway': '2023-12-07T08:08:00+00:00'}","{'airport': 'Queenstown', 'timezone': 'Pacific/Auckland', 'iata': 'ZQN', 'icao': 'NZQN', 'terminal': 'D', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T09:50:00+00:00', 'estimated': '2023-12-07T09:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '613', 'iata': 'NZ613', 'icao': 'ANZ613', 'codeshared': None}","{'registration': 'ZK-OXF', 'iata': 'A320', 'icao': 'A320', 'icao24': 'C8216E'}","{'updated': '2023-12-06T20:31:22+00:00', 'latitude': -44.7826, 'longitude': 169.417, 'altitude': 3108.96, 'direction': 241, 'speed_horizontal': 511.152, 'speed_vertical': 0, 'is_ground': False}"
2023-12-07,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '4', 'delay': 21, 'scheduled': '2023-12-07T01:30:00+00:00', 'estimated': '2023-12-07T01:30:00+00:00', 'actual': '2023-12-07T01:50:00+00:00', 'estimated_runway': '2023-12-07T01:50:00+00:00', 'actual_runway': '2023-12-07T01:50:00+00:00'}","{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T06:20:00+00:00', 'estimated': '2023-12-07T06:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'VietJet Air', 'iata': 'VJ', 'icao': 'VJC'}","{'number': '82', 'iata': 'VJ82', 'icao': 'VJC82', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Launceston', 'timezone': 'Australia/Hobart', 'iata': 'LST', 'icao': 'YMLT', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-12-07T07:00:00+00:00', 'estimated': '2023-12-07T07:00:00+00:00', 'actual': '2023-12-07T06:57:00+00:00', 'estimated_runway': '2023-12-07T06:57:00+00:00', 'actual_runway': '2023-12-07T06:57:00+00:00'}","{'airport': 'Burnie Wynyard', 'timezone': 'Australia/Hobart', 'iata': 'BWT', 'icao': 'YWYY', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T07:30:00+00:00', 'estimated': '2023-12-07T07:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'empty', 'iata': None, 'icao': None}","{'number': '892', 'iata': None, 'icao': None, 'codeshared': None}",,
