flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-24,active,"{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '3', 'gate': 'B26', 'delay': 30, 'scheduled': '2023-11-24T07:25:00+00:00', 'estimated': '2023-11-24T07:25:00+00:00', 'actual': '2023-11-24T07:54:00+00:00', 'estimated_runway': '2023-11-24T07:54:00+00:00', 'actual_runway': '2023-11-24T07:54:00+00:00'}","{'airport': 'Newcastle Airport', 'timezone': 'Europe/London', 'iata': 'NCL', 'icao': 'EGNT', 'terminal': None, 'gate': None, 'baggage': None, 'delay': 1, 'scheduled': '2023-11-24T11:20:00+00:00', 'estimated': '2023-11-24T11:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8035', 'iata': 'QF8035', 'icao': 'QFA8035', 'codeshared': {'airline_name': 'emirates', 'airline_iata': 'ek', 'airline_icao': 'uae', 'flight_number': '35', 'flight_iata': 'ek35', 'flight_icao': 'uae35'}}",,
2023-11-24,active,"{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '3', 'gate': 'A8', 'delay': 25, 'scheduled': '2023-11-24T07:25:00+00:00', 'estimated': '2023-11-24T07:25:00+00:00', 'actual': '2023-11-24T07:50:00+00:00', 'estimated_runway': '2023-11-24T07:50:00+00:00', 'actual_runway': '2023-11-24T07:50:00+00:00'}","{'airport': 'Mohamed V', 'timezone': 'Africa/Casablanca', 'iata': 'CMN', 'icao': 'GMMN', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T13:10:00+00:00', 'estimated': '2023-11-24T13:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Royal Air Maroc', 'iata': 'AT', 'icao': 'RAM'}","{'number': '9901', 'iata': 'AT9901', 'icao': 'RAM9901', 'codeshared': {'airline_name': 'emirates', 'airline_iata': 'ek', 'airline_icao': 'uae', 'flight_number': '751', 'flight_iata': 'ek751', 'flight_icao': 'uae751'}}",,
2023-11-24,active,"{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '3', 'gate': 'A8', 'delay': 25, 'scheduled': '2023-11-24T07:25:00+00:00', 'estimated': '2023-11-24T07:25:00+00:00', 'actual': '2023-11-24T07:50:00+00:00', 'estimated_runway': '2023-11-24T07:50:00+00:00', 'actual_runway': '2023-11-24T07:50:00+00:00'}","{'airport': 'Mohamed V', 'timezone': 'Africa/Casablanca', 'iata': 'CMN', 'icao': 'GMMN', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T13:10:00+00:00', 'estimated': '2023-11-24T13:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8751', 'iata': 'QF8751', 'icao': 'QFA8751', 'codeshared': {'airline_name': 'emirates', 'airline_iata': 'ek', 'airline_icao': 'uae', 'flight_number': '751', 'flight_iata': 'ek751', 'flight_icao': 'uae751'}}",,
2023-11-24,active,"{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '3', 'gate': 'B3', 'delay': 36, 'scheduled': '2023-11-24T07:30:00+00:00', 'estimated': '2023-11-24T07:30:00+00:00', 'actual': '2023-11-24T08:05:00+00:00', 'estimated_runway': '2023-11-24T08:05:00+00:00', 'actual_runway': '2023-11-24T08:05:00+00:00'}","{'airport': 'Capodichino', 'timezone': 'Europe/Rome', 'iata': 'NAP', 'icao': 'LIRN', 'terminal': '2', 'gate': None, 'baggage': '6', 'delay': 2, 'scheduled': '2023-11-24T11:10:00+00:00', 'estimated': '2023-11-24T11:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Emirates', 'iata': 'EK', 'icao': 'UAE'}","{'number': '2391', 'iata': 'EK2391', 'icao': 'UAE2391', 'codeshared': {'airline_name': 'flydubai', 'airline_iata': 'fz', 'airline_icao': 'fdb', 'flight_number': '1681', 'flight_iata': 'fz1681', 'flight_icao': 'fdb1681'}}",,
2023-11-24,active,"{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '3', 'gate': 'A5', 'delay': 44, 'scheduled': '2023-11-24T07:35:00+00:00', 'estimated': '2023-11-24T07:35:00+00:00', 'actual': '2023-11-24T08:28:00+00:00', 'estimated_runway': '2023-11-24T08:28:00+00:00', 'actual_runway': '2023-11-24T08:28:00+00:00'}","{'airport': 'Gardermoen', 'timezone': 'Europe/Oslo', 'iata': 'OSL', 'icao': 'ENGM', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': 10, 'scheduled': '2023-11-24T12:00:00+00:00', 'estimated': '2023-11-24T12:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8159', 'iata': 'QF8159', 'icao': 'QFA8159', 'codeshared': {'airline_name': 'emirates', 'airline_iata': 'ek', 'airline_icao': 'uae', 'flight_number': '159', 'flight_iata': 'ek159', 'flight_icao': 'uae159'}}",,
2023-11-24,active,"{'airport': 'Doha International', 'timezone': 'Asia/Qatar', 'iata': 'DOH', 'icao': 'OTHH', 'terminal': None, 'gate': 'C43', 'delay': 17, 'scheduled': '2023-11-24T01:45:00+00:00', 'estimated': '2023-11-24T01:45:00+00:00', 'actual': '2023-11-24T02:02:00+00:00', 'estimated_runway': '2023-11-24T02:02:00+00:00', 'actual_runway': '2023-11-24T02:02:00+00:00'}","{'airport': 'Cape Town International', 'timezone': 'Africa/Johannesburg', 'iata': 'CPT', 'icao': 'FACT', 'terminal': 'B', 'gate': 'A3', 'baggage': '1.1', 'delay': None, 'scheduled': '2023-11-24T10:30:00+00:00', 'estimated': '2023-11-24T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Malaysia Airlines', 'iata': 'MH', 'icao': 'MAS'}","{'number': '9305', 'iata': 'MH9305', 'icao': 'MAS9305', 'codeshared': {'airline_name': 'qatar airways', 'airline_iata': 'qr', 'airline_icao': 'qtr', 'flight_number': '1369', 'flight_iata': 'qr1369', 'flight_icao': 'qtr1369'}}",,
2023-11-24,active,"{'airport': 'Doha International', 'timezone': 'Asia/Qatar', 'iata': 'DOH', 'icao': 'OTHH', 'terminal': None, 'gate': 'C43', 'delay': 17, 'scheduled': '2023-11-24T01:45:00+00:00', 'estimated': '2023-11-24T01:45:00+00:00', 'actual': '2023-11-24T02:02:00+00:00', 'estimated_runway': '2023-11-24T02:02:00+00:00', 'actual_runway': '2023-11-24T02:02:00+00:00'}","{'airport': 'Cape Town International', 'timezone': 'Africa/Johannesburg', 'iata': 'CPT', 'icao': 'FACT', 'terminal': 'B', 'gate': 'A3', 'baggage': '1.1', 'delay': None, 'scheduled': '2023-11-24T10:30:00+00:00', 'estimated': '2023-11-24T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Iberia', 'iata': 'IB', 'icao': 'IBE'}","{'number': '2414', 'iata': 'IB2414', 'icao': 'IBE2414', 'codeshared': {'airline_name': 'qatar airways', 'airline_iata': 'qr', 'airline_icao': 'qtr', 'flight_number': '1369', 'flight_iata': 'qr1369', 'flight_icao': 'qtr1369'}}",,
2023-11-24,active,"{'airport': 'Doha International', 'timezone': 'Asia/Qatar', 'iata': 'DOH', 'icao': 'OTHH', 'terminal': None, 'gate': 'C43', 'delay': 17, 'scheduled': '2023-11-24T01:45:00+00:00', 'estimated': '2023-11-24T01:45:00+00:00', 'actual': '2023-11-24T02:02:00+00:00', 'estimated_runway': '2023-11-24T02:02:00+00:00', 'actual_runway': '2023-11-24T02:02:00+00:00'}","{'airport': 'Cape Town International', 'timezone': 'Africa/Johannesburg', 'iata': 'CPT', 'icao': 'FACT', 'terminal': 'B', 'gate': 'A3', 'baggage': '1.1', 'delay': None, 'scheduled': '2023-11-24T10:30:00+00:00', 'estimated': '2023-11-24T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jet Linx Aviation', 'iata': 'JL', 'icao': 'JTL'}","{'number': '5591', 'iata': 'JL5591', 'icao': 'JTL5591', 'codeshared': {'airline_name': 'qatar airways', 'airline_iata': 'qr', 'airline_icao': 'qtr', 'flight_number': '1369', 'flight_iata': 'qr1369', 'flight_icao': 'qtr1369'}}",,
2023-11-24,active,"{'airport': 'Doha International', 'timezone': 'Asia/Qatar', 'iata': 'DOH', 'icao': 'OTHH', 'terminal': None, 'gate': 'C43', 'delay': 17, 'scheduled': '2023-11-24T01:45:00+00:00', 'estimated': '2023-11-24T01:45:00+00:00', 'actual': '2023-11-24T02:02:00+00:00', 'estimated_runway': '2023-11-24T02:02:00+00:00', 'actual_runway': '2023-11-24T02:02:00+00:00'}","{'airport': 'Cape Town International', 'timezone': 'Africa/Johannesburg', 'iata': 'CPT', 'icao': 'FACT', 'terminal': 'B', 'gate': 'A3', 'baggage': '1.1', 'delay': None, 'scheduled': '2023-11-24T10:30:00+00:00', 'estimated': '2023-11-24T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SriLankan Airlines', 'iata': 'UL', 'icao': 'ALK'}","{'number': '3057', 'iata': 'UL3057', 'icao': 'ALK3057', 'codeshared': {'airline_name': 'qatar airways', 'airline_iata': 'qr', 'airline_icao': 'qtr', 'flight_number': '1369', 'flight_iata': 'qr1369', 'flight_icao': 'qtr1369'}}",,
2023-11-24,active,"{'airport': 'Doha International', 'timezone': 'Asia/Qatar', 'iata': 'DOH', 'icao': 'OTHH', 'terminal': None, 'gate': 'C43', 'delay': 17, 'scheduled': '2023-11-24T01:45:00+00:00', 'estimated': '2023-11-24T01:45:00+00:00', 'actual': '2023-11-24T02:02:00+00:00', 'estimated_runway': '2023-11-24T02:02:00+00:00', 'actual_runway': '2023-11-24T02:02:00+00:00'}","{'airport': 'Cape Town International', 'timezone': 'Africa/Johannesburg', 'iata': 'CPT', 'icao': 'FACT', 'terminal': 'B', 'gate': 'A3', 'baggage': '1.1', 'delay': None, 'scheduled': '2023-11-24T10:30:00+00:00', 'estimated': '2023-11-24T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Royal Air Maroc', 'iata': 'AT', 'icao': 'RAM'}","{'number': '5757', 'iata': 'AT5757', 'icao': 'RAM5757', 'codeshared': {'airline_name': 'qatar airways', 'airline_iata': 'qr', 'airline_icao': 'qtr', 'flight_number': '1369', 'flight_iata': 'qr1369', 'flight_icao': 'qtr1369'}}",,
