departure,arrival
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Suvarnabhumi International
'airport': 'Guam International,'airport': 'Gimhae
'airport': 'Guam International,'airport': 'Gimhae
'airport': 'Guam International,'airport': 'Seoul (Incheon)
'airport': 'Guam International,'airport': 'Seoul (Incheon)
'airport': 'Woodbourne Air Station,'airport': 'Auckland International
'airport': 'Woodbourne Air Station,'airport': 'Auckland International
'airport': 'Woodbourne Air Station,'airport': 'Auckland International
'airport': 'Shenzhen,'airport': 'Tan Son Nhat International
'airport': 'Shenzhen,'airport': 'Tan Son Nhat International
'airport': 'Shenzhen,'airport': 'Nanjing Lukou International Airport
'airport': 'Wattay,'airport': 'Seoul (Incheon)
'airport': 'Guangzhou Baiyun International,'airport': 'Suvarnabhumi International
'airport': 'Christchurch International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Christchurch International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Tianhe International,'airport': 'Nanning
'airport': 'Tianhe International,'airport': 'Nanning
'airport': 'Shanghai Pudong International,'airport': 'Macau International
'airport': 'Gardermoen,'airport': 'Sharm el-Sheikh International Airport
'airport': 'Doha International,'airport': 'Gardermoen
'airport': 'Doha International,'airport': 'Gardermoen
'airport': 'Doha International,'airport': 'Gardermoen
'airport': 'Doha International,'airport': 'Gardermoen
'airport': 'Doha International,'airport': 'Gardermoen
'airport': 'Doha International,'airport': 'Gardermoen
'airport': 'Franz Josef Strauss,'airport': 'Helsinki-vantaa
'airport': 'Zurich,'airport': 'Helsinki-vantaa
'airport': 'Ted Stevens Anchorage International Airport,'airport': 'Los Angeles International
'airport': 'Ted Stevens Anchorage International Airport,'airport': 'Los Angeles International
'airport': 'Singapore Changi,'airport': 'Ngurah Rai International
'airport': 'Singapore Changi,'airport': 'Ngurah Rai International
'airport': 'Singapore Changi,'airport': 'Ngurah Rai International
'airport': 'Singapore Changi,'airport': 'Ngurah Rai International
'airport': 'Singapore Changi,'airport': 'Ngurah Rai International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Ngurah Rai International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Ngurah Rai International
'airport': Non,'airport': 'Kuqa
'airport': Non,'airport': 'Kuqa
'airport': 'Xining,'airport': 'Xianyang
'airport': Non,'airport': 'Tuofeng
'airport': Non,'airport': 'Tuofeng
'airport': Non,'airport': 'Tuofeng
'airport': 'Memphis International,'airport': 'Will Rogers World Airport
'airport': 'Los Angeles International,'airport': 'Dallas/Fort Worth International
'airport': 'Los Angeles International,'airport': 'Dallas/Fort Worth International
'airport': 'Nakhichevan,'airport': 'Heydar Aliyev International (Bina International)
'airport': 'Franz Josef Strauss,'airport': 'Francisco Sá Carneiro
'airport': 'Fredericton,'airport': 'Pierre Elliott Trudeau International
'airport': 'Fredericton,'airport': 'Pierre Elliott Trudeau International
'airport': 'Vienna International,'airport': 'Alexander The Great Airport
'airport': 'Vienna International,'airport': 'Alexander The Great Airport
'airport': 'Vienna International,'airport': 'Alexander The Great Airport
'airport': 'Hercilio Luz,'airport': 'Afonso Pena International Airport
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Jinan,'airport': 'Haikou
'airport': 'Jinan,'airport': 'Haikou
'airport': 'Jinan,'airport': 'Haikou
'airport': 'Jinan,'airport': 'Haikou
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Beijing Capital International,'airport': 'Haikou
'airport': 'Aeroporto Internacional Guarulhos,'airport': 'Santa Maria
'airport': 'Singapore Changi,'airport': 'Ngurah Rai International
'airport': 'Mc Carran International,'airport': 'Denver International
'airport': 'Mc Carran International,'airport': 'Honolulu International
'airport': 'Mc Carran International,'airport': 'Honolulu International
'airport': 'Mc Carran International,'airport': 'Midway
'airport': 'Mc Carran International,'airport': 'Orlando International
'airport': 'Del Bajío International,"'airport': ""Chicago O'hare International"
'airport': 'Tianhe International,'airport': 'Fenghuang International (Phoenix International)
'airport': 'Tianhe International,'airport': 'Shenyang
'airport': 'Tianhe International,'airport': 'Shenyang
'airport': 'Tianhe International,'airport': 'Shenyang
'airport': 'Tianhe International,'airport': 'Shenyang
'airport': Non,'airport': 'Tianhe International
'airport': 'Guangzhou Baiyun International,'airport': 'Tianhe International
'airport': 'Shuangliu,'airport': 'Tianhe International
'airport': 'Shanghai Pudong International,'airport': 'Tianhe International
'airport': 'Shanghai Pudong International,'airport': 'Tianhe International
'airport': 'Shanghai Pudong International,'airport': 'Tianhe International
'airport': 'Shanghai Pudong International,'airport': 'Tianhe International
'airport': 'Beijing Capital International,'airport': 'Tianhe International
'airport': 'Beijing Capital International,'airport': 'Tianhe International
'airport': 'Beijing Capital International,'airport': 'Tianhe International
'airport': 'Beijing Capital International,'airport': 'Tianhe International
'airport': 'Haneda Airport,'airport': 'Naha
'airport': 'Chongqing Jiangbei International,'airport': 'Wuxi
'airport': 'Chongqing Jiangbei International,'airport': 'Wuxi
'airport': 'Abu Dhabi International,'airport': 'Madras International (Meenambakkam)
'airport': 'Abu Dhabi International,'airport': 'Madras International (Meenambakkam)
'airport': 'Islamabad International,'airport': 'Seeb
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Gold Coast (coolangatta)
'airport': 'Toowoomba,'airport': 'Roma
'airport': 'Barajas,'airport': 'Bilbao
'airport': 'Barajas,'airport': 'Bilbao
'airport': 'Barajas,'airport': 'Bilbao
'airport': 'Barajas,'airport': 'Bilbao
'airport': 'Bilbao,'airport': 'Marco Polo
'airport': 'Tagbilaran,'airport': 'Ninoy Aquino International
'airport': 'Jeju Airport,'airport': 'Daegu
'airport': 'Linyi,'airport': 'Shantou
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Auckland International
'airport': 'Xianyang,'airport': 'Golmud
'airport': 'Beijing Capital International,'airport': 'Beihai
'airport': 'Beijing Capital International,'airport': 'Shanghai Hongqiao International
'airport': 'Charles De Gaulle,'airport': 'Sale
'airport': 'Charles De Gaulle,'airport': 'Sale
'airport': 'Charles De Gaulle,'airport': 'Sale
'airport': 'Xiamen,'airport': 'Fenghuang International (Phoenix International)
'airport': 'Xiamen,'airport': 'Fenghuang International (Phoenix International)
'airport': 'Xiamen,'airport': 'Fenghuang International (Phoenix International)
'airport': 'Xiamen,'airport': 'Fenghuang International (Phoenix International)
'airport': 'Tagbilaran,'airport': 'Gimhae
'airport': 'Auckland International,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Suvarnabhumi International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Suvarnabhumi International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Auckland International,'airport': 'Rarotonga
'airport': 'Auckland International,'airport': 'Rarotonga
'airport': 'Auckland International,'airport': 'Rarotonga
'airport': 'Shenyang,'airport': 'Seoul (Incheon)
'airport': 'Kota-Kinabalu International Airport,'airport': 'Gimhae
'airport': 'Kota-Kinabalu International Airport,'airport': 'Gimhae
'airport': 'Zvartnots International,'airport': 'Vnukovo
'airport': 'Abu Dhabi International,'airport': 'Cairo International Airport
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Guangzhou Baiyun International,'airport': 'Auckland International
'airport': 'Haneda Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Haneda Airport,'airport': 'Soekarno-Hatta International
'airport': 'Hong Kong International,'airport': 'Narita International Airport
'airport': 'Bandar Seri Begwan International Airport,'airport': 'Narita International Airport
'airport': 'Singapore Changi,'airport': 'Ninoy Aquino International
'airport': 'Civil,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Dunedin International,'airport': 'Auckland International
'airport': 'Phuket International,'airport': 'Shanghai Pudong International
'airport': 'Soekarno-Hatta International,'airport': 'Sentani
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Brisbane International
'airport': 'Auckland International,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Haneda Airport,'airport': 'Tan Son Nhat International
'airport': 'Ahmedabad,'airport': 'Noibai International
'airport': 'Palmerston North,'airport': 'Auckland International
'airport': 'Suvarnabhumi International,'airport': 'Kansai International
'airport': 'Charleville,'airport': 'Roma
'airport': 'Singapore Changi,'airport': 'Qingdao
'airport': 'Tauranga,'airport': 'Auckland International
'airport': 'Hong Kong International,'airport': 'Narita International Airport
'airport': 'Hong Kong International,'airport': 'Jeju Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Ngurah Rai International
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Ngurah Rai International
'airport': 'Hong Kong International,'airport': 'Suvarnabhumi International
'airport': 'Hong Kong International,'airport': 'Jeju Airport
'airport': 'Perth International,'airport': 'Hong Kong International
'airport': 'Ahmedabad,'airport': 'Noibai International
'airport': 'Almaty,'airport': 'Indira Gandhi International
'airport': 'Queenstown,'airport': 'Auckland International
'airport': 'Queenstown,'airport': 'Auckland International
'airport': 'Queenstown,'airport': 'Auckland International
'airport': 'Indira Gandhi International,'airport': 'Hong Kong International
'airport': 'Shanghai Pudong International,'airport': 'Auckland International
'airport': 'Suvarnabhumi International,'airport': 'Seoul (Incheon)
'airport': 'Tolmachevo,'airport': 'Mandalay International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Narita International Airport
'airport': 'Tan Son Nhat International,'airport': 'Kansai International
'airport': 'Ngurah Rai International,'airport': 'Narita International Airport
'airport': 'Perth International,'airport': 'Hong Kong International
'airport': 'Perth International,'airport': 'Hong Kong International
'airport': 'Queenstown,'airport': 'Auckland International
'airport': 'Auckland International,'airport': 'Queenstown
'airport': 'Auckland International,'airport': 'Hawkes Bay
'airport': 'Auckland International,'airport': 'Adelaide International Airport
'airport': 'Seoul (Incheon),'airport': 'Can Tho
'airport': 'Seoul (Incheon),'airport': 'Can Tho
'airport': 'Suvarnabhumi International,'airport': 'Seoul (Incheon)
'airport': 'Suvarnabhumi International,'airport': 'Fukuoka
'airport': 'Singapore Changi,'airport': 'Shenzhen
'airport': 'Soekarno-Hatta International,'airport': 'Babullah
'airport': 'Hong Kong International,'airport': 'Almaty
'airport': 'Madras International (Meenambakkam),'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Madras International (Meenambakkam),'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Madras International (Meenambakkam),'airport': 'Singapore Changi
'airport': 'Zia International,'airport': 'Kuwait International
'airport': 'Kansai International,'airport': 'Suvarnabhumi International
'airport': 'Kansai International,'airport': 'Suvarnabhumi International
'airport': 'Kansai International,'airport': 'Suvarnabhumi International
'airport': 'Kansai International,'airport': 'Suvarnabhumi International
'airport': 'Kansai International,'airport': 'Suvarnabhumi International
'airport': 'Singapore Changi,'airport': 'Gimhae
'airport': 'Singapore Changi,'airport': 'Dubai
'airport': 'Singapore Changi,'airport': 'Brisbane International
'airport': 'Beijing Daxing International Airport,'airport': 'Kota-Kinabalu International Airport
'airport': 'Kuala Lumpur International Airport (klia),'airport': 'Kansai International
'airport': 'Suvarnabhumi International,'airport': 'Kansai International
'airport': 'Suvarnabhumi International,'airport': 'Gimhae
'airport': 'Suvarnabhumi International,'airport': 'Mactan-Cebu International
'airport': 'Perth International,'airport': 'Singapore Changi
'airport': 'Perth International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Perth International,'airport': 'Adelaide International Airport
'airport': 'Perth International,'airport': 'Ngurah Rai International
'airport': 'Mungalalu Truscott Airbase,'airport': 'Broome
'airport': 'Da Nang,'airport': 'Seoul (Incheon)
'airport': 'Da Nang,'airport': 'Seoul (Incheon)
'airport': 'Da Nang,'airport': 'Seoul (Incheon)
'airport': 'Da Nang,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Arturo Merino Benitez,'airport': 'Carriel Sur
'airport': 'Hangzhou,'airport': 'Qingdao
'airport': 'Hangzhou,'airport': 'Nanning
'airport': 'Hangzhou,'airport': 'Haikou
'airport': 'Hangzhou,'airport': 'Shuangliu
'airport': 'Hangzhou,'airport': 'Nanning
'airport': 'Hangzhou,'airport': 'Urumqi
'airport': 'Hangzhou,'airport': 'Yinchuan
'airport': 'El Prat De Llobregat,'airport': 'Fontanarossa
'airport': 'El Prat De Llobregat,'airport': 'Fontanarossa
'airport': 'Shanghai Pudong International,'airport': 'Urumqi
'airport': 'Shanghai Pudong International,'airport': 'Urumqi
'airport': 'Shanghai Pudong International,'airport': 'Zhanjiang
'airport': 'Shanghai Pudong International,'airport': 'Zhanjiang
'airport': 'Shanghai Pudong International,'airport': 'Zhanjiang
'airport': 'Shanghai Pudong International,'airport': 'Mangshi
'airport': 'Shanghai Pudong International,'airport': 'Mangshi
'airport': 'Shanghai Pudong International,'airport': 'Tan Son Nhat International
'airport': 'Shanghai Pudong International,'airport': 'Tan Son Nhat International
'airport': 'Shanghai Pudong International,'airport': 'Lijiang
'airport': 'Tongliao,'airport': 'Saiwusu International
'airport': Non,'airport': 'Chifeng
'airport': Non,'airport': 'Chifeng
'airport': Non,'airport': 'Chifeng
'airport': 'Oliver Reginald Tambo International (Jan Smuts International),'airport': 'George
'airport': 'Riga International,'airport': 'Keflavik International
'airport': 'Nanchang,'airport': 'Harbin
'airport': 'Suvarnabhumi International,'airport': 'Surat Thani
'airport': 'Suvarnabhumi International,'airport': 'Gaya
'airport': 'Suvarnabhumi International,'airport': 'Gardermoen
'airport': 'Suvarnabhumi International,'airport': 'Schiphol
'airport': 'Suvarnabhumi International,'airport': 'Trat
'airport': 'Suvarnabhumi International,'airport': 'Irkutsk
'airport': 'Shenzhen,'airport': 'Beijing Daxing International Airport
'airport': 'Shenzhen,'airport': 'Shenyang
'airport': 'Shenzhen,'airport': 'Beijing Daxing International Airport
'airport': 'Shenzhen,'airport': 'Beijing Daxing International Airport
'airport': 'Shenzhen,'airport': 'Beijing Daxing International Airport
'airport': 'Shenzhen,'airport': 'Daguocun
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Mian Yang
'airport': 'Shenzhen,'airport': 'Jinan
'airport': 'Changzhou,'airport': 'Yichang
'airport': 'Huatugou Airport,'airport': 'Xining
'airport': Non,'airport': 'Enshi
'airport': 'Zia International,'airport': 'Patenga
'airport': 'Qingdao,'airport': 'Wenzhou
'airport': 'Qingdao,'airport': 'Xiangfan
'airport': 'John F Kennedy International,'airport': 'La Aurora
'airport': 'Tallahassee Regional Airport,'airport': 'Dallas/Fort Worth International
'airport': 'Baotou,'airport': 'Tongliao
'airport': 'Baotou,'airport': 'Tongliao
'airport': 'Baotou,'airport': 'Chifeng
'airport': 'Baotou,'airport': 'Chifeng
'airport': 'Ninoy Aquino International,'airport': 'Bacolod
'airport': 'Ninoy Aquino International,'airport': 'Bacolod
'airport': 'El Prat De Llobregat,'airport': 'Vigo
'airport': 'El Prat De Llobregat,'airport': 'Vigo
'airport': 'El Prat De Llobregat,'airport': 'Vigo
'airport': 'Madras International (Meenambakkam),'airport': 'Port Blair
'airport': 'Leonardo Da Vinci (Fiumicino),'airport': 'Washington Dulles International
"'airport': 'Athens International Airport ""Eleftherios Venizelos""",'airport': 'Souda
'airport': 'Fuzhou,'airport': 'Hengyang
'airport': 'Fuzhou,'airport': 'Hengyang
'airport': 'Kunming,'airport': 'Yichang
'airport': 'Kunming,'airport': 'Qingdao
'airport': 'Liszt Ferenc International,'airport': 'Hangzhou
'airport': 'Jinan,'airport': 'Jiamusi
'airport': 'Jinan,'airport': 'Haikou
'airport': 'Seoul (Incheon),'airport': 'Kota-Kinabalu International Airport
'airport': 'Dubai,'airport': 'Quetta
'airport': 'Dubai,'airport': 'Moi International
'airport': 'Dubai,'airport': 'Ngurah Rai International
'airport': 'Dubai,'airport': 'Kazan
'airport': 'Dubai,'airport': 'Shanghai Pudong International
'airport': 'Dubai,'airport': 'Lusaka
'airport': 'Dubai,'airport': 'Ninoy Aquino International
'airport': 'Dubai,'airport': '4 de Fevereiro
'airport': 'Dubai,'airport': 'Vilnius
'airport': 'Dubai,'airport': 'Tan Son Nhat International
'airport': 'Dubai,'airport': 'Marco Polo
'airport': 'Dubai,'airport': 'Khwaja Rawash
'airport': 'Dubai,'airport': 'Houari Boumediene
'airport': 'Dubai,'airport': 'Raja Sansi International Airport
'airport': 'Oliver Reginald Tambo International (Jan Smuts International),'airport': 'Harare
'airport': 'Gardermoen,'airport': 'Tromso/langnes
'airport': 'Wollongong,'airport': 'Williamtown
'airport': 'Auckland International,'airport': 'Brisbane International
'airport': 'Suvarnabhumi International,'airport': 'Fukuoka
'airport': 'Haneda Airport,'airport': 'Tan Son Nhat International
'airport': 'Singapore Changi,'airport': 'Indira Gandhi International
'airport': 'Singapore Changi,'airport': 'Fukuoka
'airport': 'Singapore Changi,'airport': 'Fukuoka
'airport': 'Singapore Changi,'airport': 'Chu-Bu Centrair International (Central Japan International)
'airport': 'Singapore Changi,'airport': 'Chu-Bu Centrair International (Central Japan International)
'airport': 'Singapore Changi,'airport': 'Shanghai Pudong International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Suvarnabhumi International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Noibai International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Hong Kong International
'airport': 'Haneda Airport,'airport': 'Suvarnabhumi International
'airport': 'Haneda Airport,'airport': 'Suvarnabhumi International
'airport': 'Haneda Airport,'airport': 'Singapore Changi
'airport': 'Haneda Airport,'airport': 'Singapore Changi
'airport': 'Darwin,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Bandaranaike International,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Singapore Changi,'airport': 'Kansai International
'airport': 'Haneda Airport,'airport': 'Soekarno-Hatta International
'airport': 'Bandaranaike International,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Perth International,'airport': 'Singapore Changi
'airport': 'Osh International Airport,'airport': 'Krasnojarsk
'airport': 'Suvarnabhumi International,'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Soekarno-Hatta International,'airport': 'Shenzhen
'airport': 'Da Nang,'airport': 'Daegu
'airport': 'Ninoy Aquino International,'airport': 'Mactan-Cebu International
'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International),'airport': 'Gimhae
'airport': 'Da Nang,'airport': 'Narita International Airport
'airport': 'Brewarrina,'airport': 'Dubbo
'airport': 'Don Muang,'airport': 'Cheongju
'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International),'airport': 'Gimhae
'airport': 'Nursultan Nazarbayev International Airport,'airport': 'Krasnojarsk
'airport': 'Auckland International,'airport': 'Wellington International
'airport': 'Haneda Airport,'airport': 'Suvarnabhumi International
'airport': 'Haneda Airport,'airport': 'Suvarnabhumi International
'airport': 'Haneda Airport,'airport': 'Singapore Changi
'airport': 'Don Muang,'airport': 'Fukuoka
'airport': 'Surat,'airport': 'Sharjah
'airport': 'Canberra,'airport': 'Adelaide International Airport
'airport': 'Bandaranaike International,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International),'airport': 'Narita International Airport
'airport': 'Auckland International,'airport': 'Brisbane International
'airport': 'Chiang Mai International,'airport': 'Kansai International
'airport': 'Christchurch International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Almaty,'airport': 'Nursultan Nazarbayev International Airport
'airport': 'Haneda Airport,'airport': 'Singapore Changi
'airport': 'Haneda Airport,'airport': 'Singapore Changi
'airport': 'Hawkes Bay,'airport': 'Christchurch International
'airport': 'Auckland International,'airport': 'Dunedin International
'airport': 'Haneda Airport,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Ngurah Rai International,'airport': 'Seoul (Incheon)
'airport': 'Ngurah Rai International,'airport': 'Shanghai Pudong International
'airport': 'Ngurah Rai International,'airport': 'Seoul (Incheon)
'airport': 'Krasnojarsk,'airport': 'Phuket International
'airport': 'Singapore Changi,'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Macau International,'airport': 'Seoul (Incheon)
'airport': 'Auckland International,'airport': 'Singapore Changi
'airport': 'Auckland International,'airport': 'Singapore Changi
'airport': 'Auckland International,'airport': 'Singapore Changi
'airport': 'Tan Son Nhat International,'airport': 'Gimhae
'airport': Non,'airport': 'Don Muang
'airport': 'Da Nang,'airport': 'Daegu
'airport': 'Mactan-Cebu International,'airport': 'Diosdado Macapagal International (Clark International)
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Brisbane International
'airport': 'Darwin,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Seoul (Incheon),'airport': 'Ninoy Aquino International
'airport': 'Mactan-Cebu International,'airport': 'Ninoy Aquino International
'airport': 'Mactan-Cebu International,'airport': 'Gimhae
'airport': 'Mactan-Cebu International,'airport': 'Gimhae
'airport': 'Christchurch International,'airport': 'Brisbane International
'airport': 'Christchurch International,'airport': 'Brisbane International
'airport': 'Kunming,'airport': 'Singapore Changi
'airport': 'Kunming,'airport': 'Singapore Changi
'airport': 'Da Nang,'airport': 'Daegu
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Ninoy Aquino International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Mactan-Cebu International,'airport': 'Daegu
'airport': 'Port Hedland,'airport': Non
'airport': 'Mactan-Cebu International,'airport': 'Seoul (Incheon)
'airport': 'Mactan-Cebu International,'airport': 'Seoul (Incheon)
'airport': 'Haneda Airport,'airport': 'Seoul (Incheon)
'airport': 'Haneda Airport,'airport': 'Seoul (Incheon)
'airport': 'Haneda Airport,'airport': 'Ninoy Aquino International
'airport': 'Haneda Airport,'airport': 'Hong Kong International
'airport': 'Haneda Airport,'airport': 'Ninoy Aquino International
'airport': 'Singapore Changi,'airport': 'Kansai International
'airport': 'Singapore Changi,'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Christchurch International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Christchurch International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Xianyang,'airport': 'Aksu
'airport': 'Shuangliu,'airport': 'Tianhe International
'airport': 'Mineralnye Vodyj,'airport': 'Sheremetyevo International
'airport': 'Beira,'airport': 'Porto Amelia
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Perth International
'airport': 'Hangzhou,'airport': 'Zhengzhou
'airport': 'Shuangliu,'airport': 'Pan Zhi Hua Bao An Ying
'airport': 'Juanda,'airport': 'Hong Kong International
'airport': 'Juanda,'airport': 'Hong Kong International
'airport': 'Juanda,'airport': 'Hong Kong International
'airport': 'Juanda,'airport': 'Hong Kong International
'airport': 'Juanda,'airport': 'Hong Kong International
'airport': 'Manas (Bishkek),'airport': 'Istanbul Airport
'airport': 'Manas (Bishkek),'airport': 'Istanbul Airport
'airport': 'Manas (Bishkek),'airport': 'Domodedovo
'airport': 'Bangalore International Airport,'airport': 'Birsa Munda International
'airport': Non,'airport': 'Lüliang Airport
'airport': Non,'airport': 'Lüliang Airport
'airport': Non,'airport': 'Lüliang Airport
'airport': Non,'airport': 'Lüliang Airport
'airport': Non,'airport': 'Lüliang Airport
'airport': 'Nanjing Lukou International Airport,'airport': 'Urumqi
'airport': 'Nanjing Lukou International Airport,'airport': 'Urumqi
'airport': Non,'airport': 'Nanjing Lukou International Airport
'airport': Non,'airport': 'Nanjing Lukou International Airport
'airport': Non,'airport': 'Nanjing Lukou International Airport
'airport': Non,'airport': 'Nanjing Lukou International Airport
'airport': 'Shenzhen,'airport': 'Nanjing Lukou International Airport
'airport': 'Shenzhen,'airport': 'Nanjing Lukou International Airport
'airport': 'Shenzhen,'airport': 'Nanjing Lukou International Airport
'airport': 'Gimhae,'airport': 'Noibai International
'airport': 'Gimhae,'airport': 'Noibai International
'airport': 'Gimhae,'airport': 'Kuala Lumpur International Airport (klia)
'airport': 'Lanzhou Zhongchuan Airport,'airport': 'Guilin
'airport': 'Mohamed V,'airport': 'Mohammad Bin Abdulaziz
'airport': 'Urumqi,'airport': 'Kashi
'airport': 'Urumqi,'airport': 'Shanghai Hongqiao International
'airport': 'Urumqi,'airport': 'Beijing Daxing International Airport
'airport': 'Urumqi,'airport': 'Guangzhou Baiyun International
'airport': 'Urumqi,'airport': 'Guangzhou Baiyun International
'airport': 'Urumqi,'airport': 'Novo Alexeyevka International
'airport': 'Urumqi,'airport': 'Tianjin Binhai International
'airport': 'Samarkand,'airport': 'Istanbul Airport
'airport': 'Samarkand,'airport': 'Istanbul Airport
'airport': 'Jeju Airport,'airport': 'Cheongju
'airport': 'Jeju Airport,'airport': 'Cheongju
'airport': 'Jeju Airport,'airport': 'Cheongju
'airport': 'Jeju Airport,'airport': 'Cheongju
'airport': 'Jeju Airport,'airport': 'Cheongju
'airport': 'Yinchuan,'airport': 'Hangzhou
'airport': 'Seoul (Incheon),'airport': 'Saipan International
'airport': 'Seoul (Incheon),'airport': 'Tan Son Nhat International
'airport': 'Seoul (Incheon),'airport': 'Tan Son Nhat International
'airport': 'Seoul (Incheon),'airport': 'Noibai International
'airport': 'Seoul (Incheon),'airport': 'Noibai International
'airport': 'Seoul (Incheon),'airport': 'Da Nang
'airport': 'Seoul (Incheon),'airport': 'Da Nang
'airport': 'Seoul (Incheon),'airport': 'Da Nang
