departure,arrival
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Perth International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Perth International
'airport': 'Bandaranaike International,'airport': 'Singapore Changi
'airport': 'Canberra,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Canberra,'airport': 'Adelaide International Airport
'airport': 'Canberra,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Canberra,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Singapore Changi,'airport': 'Brisbane International
'airport': 'Singapore Changi,'airport': 'Mactan-Cebu International
'airport': 'Singapore Changi,'airport': 'Civil
'airport': 'Singapore Changi,'airport': 'Gimhae
'airport': 'Singapore Changi,'airport': 'Jinan
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Singapore Changi,'airport': 'Ninoy Aquino International
'airport': 'Singapore Changi,'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Seoul (Incheon),'airport': 'Duong Dong
'airport': 'Auckland International,'airport': 'Dunedin International
'airport': 'Seoul (Incheon),'airport': 'Duong Dong
'airport': 'Haneda Airport,'airport': 'Hong Kong International
'airport': 'Haneda Airport,'airport': 'Ninoy Aquino International
'airport': 'Auckland International,'airport': 'Queenstown
'airport': 'Bangalore International Airport,'airport': 'Lohegaon
'airport': 'Bangalore International Airport,'airport': 'Chhatrapati Shivaji International (Sahar International)
'airport': 'Auckland International,'airport': 'Dunedin International
'airport': 'Soekarno-Hatta International,'airport': 'Babullah
'airport': 'Dushanbe,'airport': 'Tolmachevo
'airport': 'Ninoy Aquino International,'airport': 'Shenzhen
'airport': 'Suvarnabhumi International,'airport': 'Kansai International
'airport': 'Chiang Mai International,'airport': 'Kansai International
'airport': 'Auckland International,'airport': 'Queenstown
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Hong Kong International
'airport': 'Haneda Airport,'airport': 'Tan Son Nhat International
'airport': 'Hamilton,'airport': 'Wellington International
'airport': 'Phuket International,'airport': 'Nanjing Lukou International Airport
'airport': 'Christchurch International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Kuala Lumpur International Airport (klia),'airport': 'Perth International
'airport': 'Zia International,'airport': 'Hong Kong International
'airport': 'Perth International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Adelaide International Airport,'airport': 'Cairns
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Ninoy Aquino International
'airport': 'Xianyang,'airport': 'Nanjing Lukou International Airport
'airport': 'Kuala Lumpur International Airport (klia),'airport': 'Zia International
'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International),'airport': 'Daegu
'airport': 'Don Muang,'airport': 'Cheongju
'airport': 'Seoul (Incheon),'airport': 'Duong Dong
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Auckland International,'airport': 'Queenstown
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Hong Kong International
'airport': 'Tan Son Nhat International,'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Brisbane International,'airport': 'Hong Kong International
'airport': 'Soekarno-Hatta International,'airport': 'Samratulangi
'airport': 'Beijing Capital International,'airport': 'Shanghai Pudong International
'airport': 'Guam International,'airport': 'Gimhae
'airport': 'Guam International,'airport': 'Seoul (Incheon)
'airport': 'Guam International,'airport': 'Seoul (Incheon)
'airport': 'Civil,'airport': 'Singapore Changi
'airport': 'Civil,'airport': 'Tan Son Nhat International
'airport': 'Civil,'airport': 'Tan Son Nhat International
'airport': 'Civil,'airport': 'Tan Son Nhat International
'airport': 'Civil,'airport': 'Tan Son Nhat International
'airport': 'Hangzhou,'airport': 'Guangzhou Baiyun International
'airport': 'Lohegaon,'airport': 'Hyderabad Airport
'airport': 'Lohegaon,'airport': 'Sanganeer
'airport': 'Lohegaon,'airport': 'Indira Gandhi International
'airport': 'Lohegaon,'airport': 'Indira Gandhi International
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Perth International
'airport': 'Noibai International,'airport': 'Narita International Airport
'airport': 'Noibai International,'airport': 'Narita International Airport
'airport': 'Noibai International,'airport': 'Kansai International
'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International),'airport': 'Gimhae
'airport': 'Suvarnabhumi International,'airport': 'Nanjing Lukou International Airport
